City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
222,san luis de la loma,17.2706,-100.8939,82.2,76,68,0.47,MX,2023-06-29 03:31:27
223,tulun,54.5611,100.5792,69.94,51,25,4.72,RU,2023-06-29 03:31:27
224,ust-nera,64.5667,143.2,82.13,38,0,6.53,RU,2023-06-29 03:31:27
225,aur,8.1499,171.1687,82.56,79,100,16.37,MH,2023-06-29 03:31:27
226,invercargill,-46.4,168.35,47.8,83,77,11.21,NZ,2023-06-29 03:31:28
227,klyuchi,52.2667,79.1667,68.09,45,100,17.05,RU,2023-06-29 03:31:28
228,zheshart,62.0731,49.5733,59.65,58,8,4.14,RU,2023-06-29 03:31:28
229,iisalmi,63.5592,27.1907,62.29,86,40,0.56,FI,2023-06-29 03:31:28
230,nar'yan-mar,67.6713,53.087,48.38,62,100,1.48,RU,2023-06-29 03:31:29
231,pimentel,-6.8367,-79.9342,71.89,83,40,10.36,PE,2023-06-29 03:31:29
232,aoulef,26.9667,1.0833,90.1,15,19,13.38,DZ,2023-06-29 03:31:29
233,port lincoln,-34.7333,135.8667,54.88,61,80,12.3,AU,2023-06-29 03:28:46
234,hofheim am taunus,50.0833,8.45,61.99,85,0,2.3,DE,2023-06-29 03:29:30
235,ta`u,-14.2336,-169.5144,81.48,77,14,9.13,AS,2023-06-29 03:31:30
236,warrnambool,-38.3833,142.4833,52.74,77,99,19.17,AU,2023-06-29 03:30:44
237,qamdo,31.1667,97.2333,59.23,42,51,1.07,CN,2023-06-29 03:31:30
238,cannonvale,-20.2833,148.7,74.59,60,2,8.03,AU,2023-06-29 03:31:30
239,broken hill,-31.95,141.4333,51.04,58,22,12.48,AU,2023-06-29 03:31:31
240,alice springs,-23.7,133.8833,55.22,53,100,57.0,AU,2023-06-29 03:31:31
241,minas de marcona,-15.2119,-75.1103,54.34,86,32,10.27,PE,2023-06-29 03:31:31
242,matoury,4.8483,-52.3317,75.16,94,100,0.0,GF,2023-06-29 03:31:31
243,balqash,46.8481,74.995,72.19,33,0,4.47,KZ,2023-06-29 03:31:32
244,west bay,19.3667,-81.4167,86.07,82,20,5.75,KY,2023-06-29 03:31:32
245,leava,-14.3,-178.1667,80.85,75,78,9.69,WF,2023-06-29 03:31:32
246,afaahiti,-17.75,-149.2833,80.47,78,30,16.64,PF,2023-06-29 03:31:32
247,anka,12.1138,5.9243,75.96,85,61,5.21,NG,2023-06-29 03:31:33
248,bouza,14.4229,6.0428,80.82,60,95,12.66,NE,2023-06-29 03:31:33
249,baardheere,2.3446,42.2764,74.16,85,73,11.41,SO,2023-06-29 03:31:33
250,nagqu,31.5,92.0,43.38,82,100,2.86,CN,2023-06-29 03:31:33
251,guerrero negro,27.9769,-114.0611,61.95,87,0,16.93,MX,2023-06-29 03:31:34
252,la sarre,48.8002,-79.1996,50.76,57,99,2.19,CA,2023-06-29 03:31:34
253,tomatlan,19.9333,-105.25,77.79,91,99,1.97,MX,2023-06-29 03:31:34
254,egilsstadir,65.2653,-14.3948,48.11,81,75,8.05,IS,2023-06-29 03:31:34
255,la ronge,55.1001,-105.2842,68.25,42,20,1.14,CA,2023-06-29 03:31:34
256,ishikawa,26.4233,127.8214,88.54,70,40,12.66,JP,2023-06-29 03:31:35
257,chui,-33.6971,-53.4616,45.0,75,1,5.28,UY,2023-06-29 03:31:35
258,lake munmorah,-33.1936,151.5719,62.58,46,9,1.99,AU,2023-06-29 03:31:35
259,cabedelo,-6.9811,-34.8339,74.07,87,30,8.97,BR,2023-06-29 03:31:35
260,kavaratti,10.5669,72.642,83.52,76,99,18.54,IN,2023-06-29 03:31:36
261,sandnessjoen,66.0217,12.6316,57.72,94,75,3.44,NO,2023-06-29 03:31:36
262,buka,40.8108,69.1986,79.97,21,17,6.64,UZ,2023-06-29 03:31:36
263,posto fiscal rolim de moura,-13.0833,-62.2667,69.66,57,0,2.82,BR,2023-06-29 03:31:36
264,mount gambier,-37.8333,140.7667,51.08,80,99,10.96,AU,2023-06-29 03:31:37
